Benson's Shop	poss	Benson'sshop	11	Benson's Shop	dirNoun
Chicago Times	poss	yourarticles	21	articles	noun
Chicago Times	poss	THE TIMES'representations	21	representations	noun
Children's	poss	Children'sdrawers	04	drawers	noun
City Slave Girl	poss	Herkid	06	kid	noun
City Slave Girl	poss	herletters	06	letters	noun
City Slave Girl	poss	each other'shair	06	hair	noun
City Slave Girl	poss	theirmothers'fault	06	fault	noun
City Slave Girl	poss	theirstrength	06	strength	noun
City Slave Girl	poss	mydear	06	City Slave Girl	refNoun
City Slave Girl	poss	myroom	06	room	noun
City Slave Girl	poss	myeyes	06	eyes	noun
City Slave Girl	poss	hertea kettle	06	tea kettle	noun
City Slave Girl	poss	her pale face	06	face	noun
City Slave Girl	poss	her thin little hands	06	hands	noun
City Slave Girl	poss	theircheeks	06	cheeks	noun
City Slave Girl	poss	herpocket	06	pocket	noun
City Slave Girl	poss	Mymother	06	mother	noun
City Slave Girl	poss	herfather	06	father	noun
City Slave Girl	poss	mymother and brother	06	mother	noun
City Slave Girl	poss	mymother and brother	06	brother	noun
City Slave Girl	poss	myfamily	06	family	noun
City Slave Girl	poss	mymother	06	mother	noun
City Slave Girl	poss	owner'sclothes	06	clothes	noun
City Slave Girl	poss	herelbow	06	elbow	noun
City Slave Girl	poss	poverty's respectable rags	05	rags	noun
City Slave Girl	poss	herneedle	05	needle	noun
City Slave Girl	poss	hercloak	05	cloak	noun
City Slave Girl	poss	herneck	05	neck	noun
City Slave Girl	poss	hercollar	05	collar	noun
City Slave Girl	poss	herjersey	05	jersey	noun
City Slave Girl	poss	Hershoes	05	shoes	noun
City Slave Girl	poss	herfolks	05	folks	noun
City Slave Girl	poss	herhands and knees	05	hands	noun
City Slave Girl	poss	herhands and knees	05	knees	noun
City Slave Girl	poss	herneedle	05	needle	noun
City Slave Girl	poss	hermouth	05	mouth	noun
City Slave Girl	poss	herdress	05	dress	noun
City Slave Girl	poss	Hermother	05	mother	noun
City Slave Girl	poss	herbrother	05	brother	noun
City Slave Girl	poss	theirdresses	05	dresses	noun
City Slave Girl	poss	herarms and neck	05	arms	noun
City Slave Girl	poss	herarms and neck	05	neck	noun
City Slave Girl	poss	herhands	05	hands	noun
City Slave Girl	poss	herdress waist	05	dress waist	noun
City Slave Girl	poss	herhands	05	hands	noun
City Slave Girl	poss	herunderclothing	05	underclothing	noun
City Slave Girl	poss	oureyes	05	eyes	noun
City Slave Girl	poss	ourneighbors	05	City Slave Girl	refNoun
City Slave Girl	poss	her little head	05	head	noun
City Slave Girl	poss	herarm	05	arm	noun
City Slave Girl	poss	theirfinger-nails	05	finger-nails	noun
City Slave Girl	poss	theirpursuer	04	pursuer	noun
City Slave Girl	poss	herface	04	face	noun
City Slave Girl	poss	hermother	04	mother	noun
City Slave Girl	poss	theirlanguage	04	language	noun
City Slave Girl	poss	herneedle	04	needle	noun
City Slave Girl	poss	mymachine	04	machine	noun
City Slave Girl	poss	mysewing	04	sewing	noun
City Slave Girl	poss	yourwages	04	wages	noun
City Slave Girl	poss	mychin	04	chin	noun
City Slave Girl	poss	mywhiskers	04	whiskers	noun
City Slave Girl	poss	herlabors	03	labors	noun
City Slave Girl	poss	theirarms	03	arms	noun
City Slave Girl	poss	their broken shoes	03	shoes	noun
City Slave Girl	poss	their ragged skirts	03	skirts	noun
City Slave Girl	poss	hergrowth	03	growth	noun
City Slave Girl	poss	Herhands	03	hands	noun
City Slave Girl	poss	Rosy'sattention	03	attention	noun
City Slave Girl	poss	Rosy'sbook	03	book	noun
City Slave Girl	poss	heraid	03	aid	noun
City Slave Girl	poss	herheart	03	heart	noun
City Slave Girl	poss	myteeth	03	teeth	noun
City Slave Girl	poss	mywages	03	wages	noun
City Slave Girl	poss	yourwork	03	work	noun
City Slave Girl	poss	hercloak	03	cloak	noun
City Slave Girl	poss	herbox	03	box	noun
City Slave Girl	poss	ourtable	03	table	noun
City Slave Girl	poss	herhand	03	hand	noun
City Slave Girl	poss	theirarms, neck, and faces	03	arms	noun
City Slave Girl	poss	theirarms, neck, and faces	03	neck	noun
City Slave Girl	poss	theirarms, neck, and faces	03	faces	noun
City Slave Girl	poss	theirteacups	03	teacups	noun
City Slave Girl	poss	theirhair	03	hair	noun
City Slave Girl	poss	theirneedles	03	needles	noun
